Nov 18, 2022  03:07:17 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004
Original filename: Helium_1bar_spektrum_ubersicht_ plastikfolie_RGA.txt

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 2.00E-007 
Filament Current, 1.00, mAmps

A,B,
  1.00,  -2.78E-007, 
  1.10,  -2.54E-007, 
  1.20,  -2.85E-008, 
  1.30,   4.22E-007, 
  1.40,   2.37E-006, 
  1.50,   2.42E-005, 
  1.60,   1.59E-004, 
  1.70,   3.87E-004, 
  1.80,   5.45E-004, 
  1.90,   5.38E-004, 
  2.00,   5.33E-004, 
  2.10,   4.08E-004, 
  2.20,   1.49E-004, 
  2.30,   1.65E-005, 
  2.40,   6.15E-006, 
  2.50,   3.02E-006, 
  2.60,   1.76E-006, 
  2.70,   8.57E-007, 
  2.80,   5.89E-007, 
  2.90,   4.05E-007, 
  3.00,   3.00E-007, 
  3.10,   6.55E-008, 
  3.20,   9.15E-008, 
  3.30,   1.22E-007, 
  3.40,   5.95E-008, 
  3.50,   7.65E-008, 
  3.60,   3.53E-007, 
  3.70,   1.15E-006, 
  3.80,   1.86E-006, 
  3.90,   2.25E-006, 
  4.00,   2.49E-006, 
  4.10,   2.63E-006, 
  4.20,   1.85E-006, 
  4.30,   1.07E-006, 
  4.40,   4.30E-007, 
  4.50,   5.12E-007, 
  4.60,   2.01E-007, 
  4.70,   2.30E-007, 
  4.80,   8.10E-008, 
  4.90,   1.19E-007, 
  5.00,   1.02E-007, 
  5.10,  -1.25E-008, 
  5.20,  -1.56E-007, 
  5.30,   9.30E-008, 
  5.40,   1.01E-007, 
  5.50,   9.60E-008, 
  5.60,  -1.00E-009, 
  5.70,   9.75E-008, 
  5.80,   6.90E-008, 
  5.90,   9.25E-008, 
  6.00,   1.30E-008, 
  6.10,   1.24E-007, 
  6.20,   1.58E-007, 
  6.30,   1.69E-007, 
  6.40,   1.09E-007, 
  6.50,   1.58E-007, 
  6.60,   1.95E-007, 
  6.70,   2.28E-007, 
  6.80,   1.45E-007, 
  6.90,   7.85E-008, 
  7.00,   1.67E-007, 
  7.10,   1.88E-007, 
  7.20,   8.65E-008, 
  7.30,   4.05E-008, 
  7.40,   1.82E-007, 
  7.50,   1.04E-007, 
  7.60,   1.36E-007, 
  7.70,   7.40E-008, 
  7.80,   1.65E-007, 
  7.90,   1.62E-007, 
  8.00,   2.10E-007, 
  8.10,   1.11E-007, 
  8.20,   1.73E-007, 
  8.30,   1.60E-007, 
  8.40,   1.70E-007, 
  8.50,   3.75E-008, 
  8.60,   2.17E-007, 
  8.70,   1.37E-007, 
  8.80,   1.71E-007, 
  8.90,   5.25E-008, 
  9.00,   2.11E-007, 
  9.10,   1.37E-007, 
  9.20,   1.75E-007, 
  9.30,   6.30E-008, 
  9.40,   2.00E-007, 
  9.50,   2.30E-007, 
  9.60,   2.85E-007, 
  9.70,   1.53E-007, 
  9.80,   1.86E-007, 
  9.90,   1.48E-007, 
 10.00,   2.14E-007, 
 10.10,   2.02E-007, 
 10.20,   2.25E-007, 
 10.30,   2.17E-007, 
 10.40,   2.33E-007, 
 10.50,   1.85E-007, 
 10.60,   1.85E-007, 
 10.70,   2.08E-007, 
 10.80,   1.66E-007, 
 10.90,   1.96E-007, 
 11.00,   1.60E-007, 
 11.10,   1.88E-007, 
 11.20,   1.44E-007, 
 11.30,   1.86E-007, 
 11.40,   1.27E-007, 
 11.50,   2.39E-007, 
 11.60,   2.58E-007, 
 11.70,   3.92E-007, 
 11.80,   4.28E-007, 
 11.90,   6.92E-007, 
 12.00,   7.16E-007, 
 12.10,   5.92E-007, 
 12.20,   3.93E-007, 
 12.30,   4.18E-007, 
 12.40,   3.30E-007, 
 12.50,   2.85E-007, 
 12.60,   3.22E-007, 
 12.70,   4.79E-007, 
 12.80,   2.97E-007, 
 12.90,   3.56E-007, 
 13.00,   2.09E-007, 
 13.10,   4.63E-007, 
 13.20,   3.09E-007, 
 13.30,   2.57E-007, 
 13.40,   1.45E-007, 
 13.50,   3.62E-007, 
 13.60,   4.42E-007, 
 13.70,   5.64E-007, 
 13.80,   5.57E-007, 
 13.90,   8.87E-007, 
 14.00,   9.07E-007, 
 14.10,   7.44E-007, 
 14.20,   5.01E-007, 
 14.30,   5.27E-007, 
 14.40,   4.48E-007, 
 14.50,   3.84E-007, 
 14.60,   4.62E-007, 
 14.70,   8.52E-007, 
 14.80,   1.05E-006, 
 14.90,   1.06E-006, 
 15.00,   1.19E-006, 
 15.10,   1.35E-006, 
 15.20,   1.04E-006, 
 15.30,   5.57E-007, 
 15.40,   4.64E-007, 
 15.50,   4.28E-007, 
 15.60,   5.38E-007, 
 15.70,   5.26E-007, 
 15.80,   6.26E-007, 
 15.90,   6.38E-007, 
 16.00,   7.90E-007, 
 16.10,   5.64E-007, 
 16.20,   5.32E-007, 
 16.30,   3.13E-007, 
 16.40,   4.44E-007, 
 16.50,   3.65E-007, 
 16.60,   6.09E-007, 
 16.70,   8.81E-007, 
 16.80,   1.22E-006, 
 16.90,   1.24E-006, 
 17.00,   1.38E-006, 
 17.10,   1.30E-006, 
 17.20,   9.21E-007, 
 17.30,   5.73E-007, 
 17.40,   5.15E-007, 
 17.50,   7.40E-007, 
 17.60,   1.68E-006, 
 17.70,   2.63E-006, 
 17.80,   3.52E-006, 
 17.90,   4.30E-006, 
 18.00,   4.64E-006, 
 18.10,   4.20E-006, 
 18.20,   2.58E-006, 
 18.30,   1.65E-006, 
 18.40,   1.06E-006, 
 18.50,   5.93E-007, 
 18.60,   4.33E-007, 
 18.70,   4.27E-007, 
 18.80,   4.14E-007, 
 18.90,   3.70E-007, 
 19.00,   3.24E-007, 
 19.10,   3.52E-007, 
 19.20,   3.35E-007, 
 19.30,   3.01E-007, 
 19.40,   2.58E-007, 
 19.50,   3.35E-007, 
 19.60,   3.00E-007, 
 19.70,   3.05E-007, 
 19.80,   2.65E-007, 
 19.90,   3.12E-007, 
 20.00,   2.19E-007, 
 20.10,   3.33E-007, 
 20.20,   2.02E-007, 
 20.30,   3.44E-007, 
 20.40,   1.77E-007, 
 20.50,   3.26E-007, 
 20.60,   2.60E-007, 
 20.70,   3.03E-007, 
 20.80,   1.68E-007, 
 20.90,   1.91E-007, 
 21.00,   2.97E-007, 
 21.10,   2.63E-007, 
 21.20,   2.22E-007, 
 21.30,   2.44E-007, 
 21.40,   3.17E-007, 
 21.50,   3.09E-007, 
 21.60,   3.45E-007, 
 21.70,   1.76E-007, 
 21.80,   3.04E-007, 
 21.90,   2.51E-007, 
 22.00,   2.67E-007, 
 22.10,   1.59E-007, 
 22.20,   2.81E-007, 
 22.30,   2.54E-007, 
 22.40,   1.60E-007, 
 22.50,   9.10E-008, 
 22.60,   2.44E-007, 
 22.70,   2.83E-007, 
 22.80,   2.51E-007, 
 22.90,   9.35E-008, 
 23.00,   3.31E-007, 
 23.10,   3.88E-007, 
 23.20,   4.02E-007, 
 23.30,   1.90E-007, 
 23.40,   3.36E-007, 
 23.50,   2.37E-007, 
 23.60,   2.51E-007, 
 23.70,   8.40E-008, 
 23.80,   2.01E-007, 
 23.90,   2.51E-007, 
 24.00,   3.88E-007, 
 24.10,   1.35E-007, 
 24.20,   2.72E-007, 
 24.30,   3.28E-007, 
 24.40,   3.31E-007, 
 24.50,   1.70E-007, 
 24.60,   2.55E-007, 
 24.70,   2.77E-007, 
 24.80,   4.53E-007, 
 24.90,   2.83E-007, 
 25.00,   3.10E-007, 
 25.10,   4.00E-007, 
 25.20,   4.70E-007, 
 25.30,   2.68E-007, 
 25.40,   2.60E-007, 
 25.50,   3.08E-007, 
 25.60,   5.56E-007, 
 25.70,   6.62E-007, 
 25.80,   7.99E-007, 
 25.90,   1.02E-006, 
 26.00,   1.25E-006, 
 26.10,   1.06E-006, 
 26.20,   7.17E-007, 
 26.30,   5.83E-007, 
 26.40,   6.29E-007, 
 26.50,   6.09E-007, 
 26.60,   9.76E-007, 
 26.70,   1.62E-006, 
 26.80,   2.41E-006, 
 26.90,   2.84E-006, 
 27.00,   2.97E-006, 
 27.10,   2.89E-006, 
 27.20,   2.15E-006, 
 27.30,   1.36E-006, 
 27.40,   9.35E-007, 
 27.50,   1.24E-006, 
 27.60,   2.65E-006, 
 27.70,   4.31E-006, 
 27.80,   5.73E-006, 
 27.90,   7.01E-006, 
 28.00,   7.50E-006, 
 28.10,   6.55E-006, 
 28.20,   3.78E-006, 
 28.30,   2.21E-006, 
 28.40,   1.49E-006, 
 28.50,   1.29E-006, 
 28.60,   1.56E-006, 
 28.70,   2.46E-006, 
 28.80,   3.48E-006, 
 28.90,   4.21E-006, 
 29.00,   4.40E-006, 
 29.10,   4.36E-006, 
 29.20,   3.00E-006, 
 29.30,   1.95E-006, 
 29.40,   9.99E-007, 
 29.50,   8.06E-007, 
 29.60,   6.83E-007, 
 29.70,   8.85E-007, 
 29.80,   8.95E-007, 
 29.90,   9.96E-007, 
 30.00,   9.81E-007, 
 30.10,   1.10E-006, 
 30.20,   6.46E-007, 
 30.30,   4.28E-007, 
 30.40,   3.57E-007, 
 30.50,   4.43E-007, 
 30.60,   4.30E-007, 
 30.70,   5.11E-007, 
 30.80,   7.18E-007, 
 30.90,   9.87E-007, 
 31.00,   8.58E-007, 
 31.10,   7.29E-007, 
 31.20,   5.87E-007, 
 31.30,   5.27E-007, 
 31.40,   4.89E-007, 
 31.50,   3.23E-007, 
 31.60,   2.41E-007, 
 31.70,   2.75E-007, 
 31.80,   3.45E-007, 
 31.90,   3.53E-007, 
 32.00,   3.44E-007, 
 32.10,   3.99E-007, 
 32.20,   3.98E-007, 
 32.30,   2.43E-007, 
 32.40,   2.69E-007, 
 32.50,   3.34E-007, 
 32.60,   4.80E-007, 
 32.70,   2.08E-007, 
 32.80,   1.49E-007, 
 32.90,   1.64E-007, 
 33.00,   2.87E-007, 
 33.10,   1.30E-007, 
 33.20,   2.61E-007, 
 33.30,   1.96E-007, 
 33.40,   2.78E-007, 
 33.50,   1.23E-007, 
 33.60,   1.70E-007, 
 33.70,   1.21E-007, 
 33.80,   3.23E-007, 
 33.90,   2.28E-007, 
 34.00,   2.73E-007, 
 34.10,   1.45E-007, 
 34.20,   3.03E-007, 
 34.30,   2.28E-007, 
 34.40,   2.54E-007, 
 34.50,   2.02E-007, 
 34.60,   3.64E-007, 
 34.70,   2.76E-007, 
 34.80,   2.13E-007, 
 34.90,   1.76E-007, 
 35.00,   2.37E-007, 
 35.10,   2.35E-007, 
 35.20,   2.16E-007, 
 35.30,   1.93E-007, 
 35.40,   2.10E-007, 
 35.50,   2.97E-007, 
 35.60,   2.90E-007, 
 35.70,   2.96E-007, 
 35.80,   3.52E-007, 
 35.90,   3.79E-007, 
 36.00,   2.97E-007, 
 36.10,   3.77E-007, 
 36.20,   3.14E-007, 
 36.30,   3.47E-007, 
 36.40,   2.33E-007, 
 36.50,   2.95E-007, 
 36.60,   2.99E-007, 
 36.70,   3.59E-007, 
 36.80,   3.52E-007, 
 36.90,   2.98E-007, 
 37.00,   2.90E-007, 
 37.10,   4.19E-007, 
 37.20,   3.47E-007, 
 37.30,   3.00E-007, 
 37.40,   2.74E-007, 
 37.50,   3.46E-007, 
 37.60,   3.43E-007, 
 37.70,   2.80E-007, 
 37.80,   3.64E-007, 
 37.90,   4.87E-007, 
 38.00,   5.06E-007, 
 38.10,   5.37E-007, 
 38.20,   4.45E-007, 
 38.30,   3.25E-007, 
 38.40,   3.43E-007, 
 38.50,   4.17E-007, 
 38.60,   7.19E-007, 
 38.70,   1.19E-006, 
 38.80,   1.63E-006, 
 38.90,   1.98E-006, 
 39.00,   2.42E-006, 
 39.10,   2.56E-006, 
 39.20,   1.75E-006, 
 39.30,   1.02E-006, 
 39.40,   7.45E-007, 
 39.50,   5.51E-007, 
 39.60,   5.07E-007, 
 39.70,   5.27E-007, 
 39.80,   5.46E-007, 
 39.90,   6.83E-007, 
 40.00,   7.33E-007, 
 40.10,   7.40E-007, 
 40.20,   6.14E-007, 
 40.30,   5.33E-007, 
 40.40,   4.86E-007, 
 40.50,   7.05E-007, 
 40.60,   1.24E-006, 
 40.70,   2.35E-006, 
 40.80,   3.42E-006, 
 40.90,   4.48E-006, 
 41.00,   5.55E-006, 
 41.10,   5.83E-006, 
 41.20,   4.33E-006, 
 41.30,   2.61E-006, 
 41.40,   1.66E-006, 
 41.50,   1.09E-006, 
 41.60,   8.97E-007, 
 41.70,   1.19E-006, 
 41.80,   1.49E-006, 
 41.90,   1.62E-006, 
 42.00,   1.71E-006, 
 42.10,   1.92E-006, 
 42.20,   1.78E-006, 
 42.30,   1.16E-006, 
 42.40,   7.32E-007, 
 42.50,   6.94E-007, 
 42.60,   1.06E-006, 
 42.70,   1.91E-006, 
 42.80,   2.87E-006, 
 42.90,   3.85E-006, 
 43.00,   4.88E-006, 
 43.10,   5.25E-006, 
 43.20,   4.08E-006, 
 43.30,   2.53E-006, 
 43.40,   1.57E-006, 
 43.50,   1.14E-006, 
 43.60,   1.13E-006, 
 43.70,   1.64E-006, 
 43.80,   2.08E-006, 
 43.90,   2.25E-006, 
 44.00,   2.50E-006, 
 44.10,   2.66E-006, 
 44.20,   1.83E-006, 
 44.30,   1.29E-006, 
 44.40,   7.09E-007, 
 44.50,   5.81E-007, 
 44.60,   6.10E-007, 
 44.70,   6.67E-007, 
 44.80,   6.19E-007, 
 44.90,   5.96E-007, 
 45.00,   7.63E-007, 
 45.10,   9.99E-007, 
 45.20,   7.27E-007, 
 45.30,   4.47E-007, 
 45.40,   2.63E-007, 
 45.50,   3.46E-007, 
 45.60,   1.82E-007, 
 45.70,   1.42E-007, 
 45.80,   2.01E-007, 
 45.90,   3.22E-007, 
 46.00,   4.20E-007, 
 46.10,   2.32E-007, 
 46.20,   2.92E-007, 
 46.30,   3.85E-007, 
 46.40,   3.19E-007, 
 46.50,   1.49E-007, 
 46.60,   2.16E-007, 
 46.70,   2.29E-007, 
 46.80,   3.36E-007, 
 46.90,   8.15E-008, 
 47.00,   1.74E-007, 
 47.10,   2.26E-007, 
 47.20,   4.53E-007, 
 47.30,   1.27E-007, 
 47.40,   1.66E-007, 
 47.50,   1.58E-007, 
 47.60,   3.40E-007, 
 47.70,   1.28E-007, 
 47.80,   1.28E-007, 
 47.90,   1.35E-007, 
 48.00,   2.75E-007, 
 48.10,   1.62E-007, 
 48.20,   1.74E-007, 
 48.30,   1.12E-007, 
 48.40,   1.71E-007, 
 48.50,   8.10E-008, 
 48.60,   1.42E-007, 
 48.70,   1.65E-007, 
 48.80,   3.02E-007, 
 48.90,   1.53E-007, 
 49.00,   5.95E-008, 
 49.10,   1.05E-007, 
 49.20,   1.05E-007, 
 49.30,   1.91E-007, 
 49.40,   1.23E-007, 
 49.50,   1.68E-007, 
 49.60,   2.35E-007, 
 49.70,   3.63E-007, 
 49.80,   2.34E-007, 
 49.90,   3.42E-007, 
 50.00,   3.93E-007, 
 50.10,   6.33E-007, 
 50.20,   3.05E-007, 
 50.30,   3.44E-007, 
 50.40,   2.22E-007, 
 50.50,   4.26E-007, 
 50.60,   2.92E-007, 
 50.70,   3.21E-007, 
 50.80,   3.32E-007, 
 50.90,   6.27E-007, 
 51.00,   4.42E-007, 
 51.10,   5.05E-007, 
 51.20,   3.55E-007, 
 51.30,   5.09E-007, 
 51.40,   2.74E-007, 
 51.50,   1.37E-007, 
 51.60,   1.27E-007, 
 51.70,   3.16E-007, 
 51.80,   2.81E-007, 
 51.90,   2.93E-007, 
 52.00,   3.10E-007, 
 52.10,   4.28E-007, 
 52.20,   3.61E-007, 
 52.30,   2.27E-007, 
 52.40,   2.08E-007, 
 52.50,   2.03E-007, 
 52.60,   3.12E-007, 
 52.70,   1.68E-007, 
 52.80,   3.07E-007, 
 52.90,   4.45E-007, 
 53.00,   6.79E-007, 
 53.10,   6.46E-007, 
 53.20,   6.27E-007, 
 53.30,   4.70E-007, 
 53.40,   4.66E-007, 
 53.50,   1.95E-007, 
 53.60,   2.85E-007, 
 53.70,   3.03E-007, 
 53.80,   5.57E-007, 
 53.90,   4.46E-007, 
 54.00,   5.86E-007, 
 54.10,   5.96E-007, 
 54.20,   6.28E-007, 
 54.30,   5.76E-007, 
 54.40,   5.15E-007, 
 54.50,   4.42E-007, 
 54.60,   7.51E-007, 
 54.70,   1.34E-006, 
 54.80,   1.96E-006, 
 54.90,   2.53E-006, 
 55.00,   3.19E-006, 
 55.10,   3.70E-006, 
 55.20,   3.57E-006, 
 55.30,   2.33E-006, 
 55.40,   1.35E-006, 
 55.50,   9.85E-007, 
 55.60,   7.86E-007, 
 55.70,   7.86E-007, 
 55.80,   1.22E-006, 
 55.90,   1.57E-006, 
 56.00,   1.82E-006, 
 56.10,   2.08E-006, 
 56.20,   2.15E-006, 
 56.30,   1.66E-006, 
 56.40,   1.14E-006, 
 56.50,   7.44E-007, 
 56.60,   7.33E-007, 
 56.70,   1.36E-006, 
 56.80,   2.27E-006, 
 56.90,   2.98E-006, 
 57.00,   3.55E-006, 
 57.10,   4.49E-006, 
 57.20,   4.54E-006, 
 57.30,   3.39E-006, 
 57.40,   1.65E-006, 
 57.50,   1.15E-006, 
 57.60,   7.73E-007, 
 57.70,   7.59E-007, 
 57.80,   6.63E-007, 
 57.90,   7.82E-007, 
 58.00,   9.52E-007, 
 58.10,   1.23E-006, 
 58.20,   9.63E-007, 
 58.30,   6.87E-007, 
 58.40,   5.01E-007, 
 58.50,   5.14E-007, 
 58.60,   2.92E-007, 
 58.70,   2.59E-007, 
 58.80,   5.96E-007, 
 58.90,   8.21E-007, 
 59.00,   7.72E-007, 
 59.10,   9.14E-007, 
 59.20,   8.05E-007, 
 59.30,   7.93E-007, 
 59.40,   5.69E-007, 
 59.50,   3.35E-007, 
 59.60,   3.22E-007, 
 59.70,   3.94E-007, 
 59.80,   4.73E-007, 
 59.90,   2.81E-007, 
 60.00,   3.14E-007, 
 60.10,   3.82E-007, 
 60.20,   5.65E-007, 
 60.30,   2.72E-007, 
 60.40,   2.18E-007, 
 60.50,   1.78E-007, 
 60.60,   4.31E-007, 
 60.70,   1.67E-007, 
 60.80,   2.35E-007, 
 60.90,   2.50E-007, 
 61.00,   3.72E-007, 
 61.10,   2.70E-007, 
 61.20,   2.50E-007, 
 61.30,   2.41E-007, 
 61.40,   3.41E-007, 
 61.50,   1.71E-007, 
 61.60,   1.77E-007, 
 61.70,   1.69E-007, 
 61.80,   3.06E-007, 
 61.90,   1.42E-007, 
 62.00,   1.62E-007, 
 62.10,   1.46E-007, 
 62.20,   3.13E-007, 
 62.30,   3.50E-008, 
 62.40,   1.49E-007, 
 62.50,  -2.15E-008, 
 62.60,   2.51E-007, 
 62.70,   9.75E-008, 
 62.80,   2.10E-007, 
 62.90,   4.85E-008, 
 63.00,   4.26E-007, 
 63.10,   1.66E-007, 
 63.20,   2.10E-007, 
 63.30,   5.40E-008, 
 63.40,   2.88E-007, 
 63.50,   1.31E-007, 
 63.60,   1.57E-007, 
 63.70,   5.90E-008, 
 63.80,   2.23E-007, 
 63.90,   2.71E-007, 
 64.00,   2.96E-007, 
 64.10,   1.76E-007, 
 64.20,   2.42E-007, 
 64.30,   2.63E-007, 
 64.40,   1.80E-007, 
 64.50,   1.59E-007, 
 64.60,   2.76E-007, 
 64.70,   1.90E-007, 
 64.80,   1.21E-007, 
 64.90,   2.52E-007, 
 65.00,   2.80E-007, 
